gene	T0_NI_CD16neg	T0_NI_CD16pos	T2_IAV_CD16neg	T2_IAV_CD16pos	T2_NI_CD16neg	T2_NI_CD16pos	T4_IAV_CD16neg	T4_IAV_CD16pos	T4_NI_CD16neg	T4_NI_CD16pos	T6_IAV_CD16neg	T6_IAV_CD16pos	T6_NI_CD16neg	T6_NI_CD16pos	T8_IAV_CD16neg	T8_IAV_CD16pos	T8_NI_CD16neg	T8_NI_CD16pos	t0_CD16neg_CD16pos_logFC	t0_CD16neg_CD16pos_AUC	t0_CD16neg_CD16pos_pval	t0_CD16neg_CD16pos_fdr	ni_CD16neg_CD16pos_logFC	ni_CD16neg_CD16pos_AUC	ni_CD16neg_CD16pos_pval	ni_CD16neg_CD16pos_fdr	iav_CD16neg_CD16pos_logFC	iav_CD16neg_CD16pos_AUC	iav_CD16neg_CD16pos_pval	iav_CD16neg_CD16pos_fdr	CD16neg_CD16pos_logFC	CD16neg_CD16pos_AUC	CD16neg_CD16pos_pval	CD16neg_CD16pos_fdr	color	ens
RPS11	3.19222801427799	2.84845530005138	3.11920951733119	2.80984585539279	3.14514581836301	2.83093932066771	3.27780423948087	3.00854530889392	2.95351858996114	2.73359727376604	3.38029785947536	3.09576516820063	3.01824319237378	2.90670840937224	2.65887836051883	2.37000069341458	2.52495620372046	2.46377365571342	0.34412888109698	0.67724381865796	1.76404482949668e-49	4.37621776260726e-48	0.1871797724476	0.598085371068905	1.07776537164213e-94	1.28629938577708e-93	0.244238285261932	0.608120425410472	3.50872963627117e-41	4.84990098872418e-40	0.217259337091668	0.603668481257072	2.72236462003221e-145	3.50697356154261e-144	CD16-	ENSG00000142534
FCGRT	1.04849163212167	0.794797397553195	0.8099622354824	0.606924734873096	0.778501569401571	0.582071464166233	0.677898445294527	0.514974714618959	0.552462293587669	0.432692756793607	0.700836976695526	0.503559257595224	0.497673179458103	0.4865685178881	0.569386665114624	0.376139103682132	0.49974296508213	0.615598118385632	0.281630559945825	0.618733382547999	1.3224070429284e-24	1.35606397308236e-23	0.0719390918166906	0.531655465087793	4.36417333442946e-12	1.36224553367548e-11	0.175136394330718	0.568632211099221	2.22221964336325e-21	1.80091723166143e-20	0.120214635304064	0.544342308516146	3.47207090737399e-30	1.52550926719193e-29	nonsig	ENSG00000104870
RRAS	0.122237030929452	0.477021830258609	0.0529891340971842	0.28817989143236	0.0531014269980106	0.313454765866438	0.0556220437846727	0.273039343103934	0.0684852906787543	0.444201898630127	0.0543101669772944	0.393896604251248	0.104520642249931	0.595112720068938	0.0525793083267658	0.319634467780457	0.100460273992387	0.432797596609627	-0.347759132504633	0.328857999683906	4.18732609411766e-98	2.86604813743165e-96	-0.344639952459794	0.3554227577098	3.11543919159372e-193	7.66182253136105e-192	-0.24825955090444	0.392245327860988	7.59647849065317e-52	1.36137521468142e-50	-0.315988896541175	0.363690789292081	2.83256495924119e-266	7.24855924930171e-265	CD16+	ENSG00000126458
IRF3	0.118423888712271	0.151469273163069	0.0410843076028647	0.0819766463350716	0.042157329724263	0.101872167243477	0.0360138794116609	0.0848261640503673	0.078948898709318	0.184429915394503	0.0363213434855915	0.105020186972533	0.116751387786457	0.232903524015919	0.0429376432352366	0.0568273441004403	0.129847668877561	0.188333355119859	-0.0357242041114664	0.474559418706775	0.000425367975177733	0.000948769323511859	-0.0780350069619992	0.46096487799139	6.01660057609587e-15	2.1138100106865e-14	-0.0417632074157102	0.479456857919674	0.00148351491323116	0.00350284631008571	-0.0636602996596853	0.466155120878368	6.31232450373566e-18	2.04215919736459e-17	nonsig	ENSG00000126456
MED25	0.0592954331098126	0.0706843539222618	0.0475557109756132	0.0696028349206132	0.0541818248177818	0.0784477994965681	0.143571654439662	0.174433219793262	0.0927577399017788	0.112829550409873	0.22852247312829	0.276642128184814	0.131036048468267	0.105225259518124	0.219115891844295	0.227296170315635	0.107832822316727	0.0708851726498441	-0.00952761808317221	0.493909184937111	0.35498803812019	0.429356407187737	0.00140578517543346	0.497776827927286	0.617660182646109	0.671565071313406	-0.014473127335716	0.4929518397359	0.263540923034871	0.342838558223288	-0.00426018286867667	0.496410219874322	0.295897429330192	0.339388915006021	nonsig	ENSG00000104973
PTOV1	0.0921293039419286	0.0891530448945496	0.0821005232238313	0.0698037952328062	0.0801397334416105	0.064294501659078	0.0910785617773962	0.0552618150991006	0.10739884506005	0.0868031268032751	0.0951322158476959	0.0549737407801881	0.109930956927127	0.0889566503396643	0.0727682044874944	0.0511782167073912	0.107717835970719	0.0882829488666762	0.00537525074538036	0.499545864667671	0.986788696619033	0.991325656143718	0.0222636854473426	0.509209919266212	0.0452989393386604	0.0634746233039889	0.0234999605307453	0.507013173840055	0.370745849502704	0.455199302144988	0.0212393839459144	0.508283126375651	0.0294550521085147	0.0392803171428338	nonsig	ENSG00000104960
PNKP	0.171407813239489	0.223327262209509	0.137182650341919	0.221355686838538	0.148427800959557	0.20071235685107	0.160165930386393	0.151074201145936	0.141735250481265	0.211728846011997	0.131934260563695	0.171827273211566	0.173321338039236	0.248993407780026	0.115040370744939	0.136500793173677	0.169166738523492	0.209343728277204	-0.0485975761077585	0.468393581287224	0.000121584715656994	0.000293924582828674	-0.0500512539324021	0.473776986243756	4.60003293809102e-07	1.08569950649336e-06	-0.0388457257378047	0.468849554709906	1.43983963081668e-06	4.99068269839508e-06	-0.0465701378740132	0.472326108435309	2.18354944271509e-12	5.82655912825948e-12	nonsig	ENSG00000039650
AKT1S1	0.0744867620569055	0.0491430401045118	0.0767842815687185	0.052731248897888	0.0717112670141724	0.0641189128343544	0.170622644706053	0.0842807333656697	0.101449866666518	0.0788807648924201	0.252613297650988	0.192799693332598	0.120872556226032	0.078779957261798	0.253545606097787	0.135396668169534	0.096656300180289	0.074913393183346	0.0228137079478406	0.508309476223915	0.218478458975812	0.284282209217038	0.0189801116341867	0.508362393357928	0.0919452551453084	0.121672721751805	0.0683077012630997	0.520335362444075	0.010862282804765	0.0213155884676581	0.034092311305998	0.511381631632442	0.00526395467488057	0.00765213063152418	nonsig	ENSG00000204673
TBC1D17	0.053461831697452	0.0513308670495438	0.0859619067044175	0.0790943394414387	0.0795616915413298	0.0747654134958912	0.173121624157685	0.137817552765066	0.0981115549712147	0.0997062967442586	0.193591141964014	0.169274576561027	0.107093071964266	0.0804092564735233	0.171630553691185	0.137649850436147	0.0874014780579111	0.076075752409376	0.00296833645068428	0.498115438400643	0.494497456622017	0.569132911480891	0.00746883208621451	0.502385294226701	0.52220385267051	0.584329345483783	0.0295371944139762	0.508796564791496	0.248164748358814	0.326596819780196	0.0137163295882305	0.503838559591183	0.290506254623727	0.333609466852111	nonsig	ENSG00000104946
IL4I1	0.0393333541105843	0.0198166200308224	0.130359137475024	0.0795700834377088	0.1312670920406	0.0864292903723495	0.676131372205777	0.672910317640147	0.22815875458411	0.135385731733339	1.23969869188919	1.65290469379093	0.359563737034441	0.241995567506272	1.8457686037884	2.09790373529313	0.360920160744563	0.304516869090132	0.0167958527934223	0.50987894392529	0.00581528389363536	0.0106638566170892	0.0593292877569663	0.529022529542712	2.3798348089569e-09	6.48122797204418e-09	-0.0129365183587515	0.51921304685003	0.00336836629095158	0.00744289727689457	0.0341400026265088	0.525809375635635	7.71527293215266e-12	2.0189067493118e-11	nonsig	ENSG00000104951
