T0_T0_CD16neg	T0_T0_CD16pos	T2_bystander_CD16neg	T2_bystander_CD16pos	T2_infected_CD16neg	T2_infected_CD16pos	T2_unexposed_CD16neg	T2_unexposed_CD16pos	T4_bystander_CD16neg	T4_bystander_CD16pos	T4_infected_CD16neg	T4_infected_CD16pos	T4_unexposed_CD16neg	T4_unexposed_CD16pos	T6_bystander_CD16neg	T6_bystander_CD16pos	T6_infected_CD16neg	T6_infected_CD16pos	T6_unexposed_CD16neg	T6_unexposed_CD16pos	T8_bystander_CD16neg	T8_bystander_CD16pos	T8_infected_CD16neg	T8_infected_CD16pos	T8_unexposed_CD16neg	T8_unexposed_CD16pos	module_pre_reordering	bystander	infected
DTX3L	0.273894958124972	0.304237910129977	0.500983240682164	0.489147998580721	0.451027147702741	0.551395192273827	0.242398933971287	0.331821413599642	1.81819876997219	1.43599244044959	1.53562928263398	1.4761752973457	0.255310628774503	0.338456147732562	2.22042360002157	2.00002642069949	2.0041955445755	2.18718188428069	0.291490359407766	0.423260845930362	2.40280375065776	1.94785662729262	2.65428482417809	2.46114817032701	0.422840895600404	0.444628712806536	5	TRUE	FALSE
PLSCR1	0.749118247775433	0.35357596161648	0.755588055658335	0.621628659886995	0.721418081294484	0.54905340904187	0.400675427990285	0.444650465141538	2.41489175140268	2.12461780809653	1.65494414249835	1.44257985685181	0.445414774884095	0.654286741732918	2.9267584435098	2.56800365878375	2.28091596365843	2.334105738242	0.564281977801645	0.598090433277741	3.18270271232494	2.67586501125681	2.66511025912708	2.50153057749405	0.537440609968969	0.735754706400481	5	TRUE	FALSE
XAF1	0.672929560866961	0.476367857580114	0.713422771945314	0.739933618421297	0.557055804542784	0.679620239879018	0.18660414727731	0.342224520359031	2.79507283541652	2.55370687684313	2.12383618880514	2.32340353636262	0.280496284352498	0.662439876192172	3.23317641353495	2.98861759920342	2.78161706938031	2.97051456146659	0.480444130422624	0.785108915822818	3.31940837134089	2.80425500403707	2.63012352130421	2.82013085371533	0.53641842592883	0.682487164003946	5	TRUE	FALSE
PARP14	0.975180689767901	0.961633786851019	1.14604662257012	1.44223235530103	1.30239270940067	1.38664633689453	0.733146086566794	0.936981849483752	4.11023899145959	3.95184559588697	3.40357644760608	3.63015319622727	0.85301704740665	1.15118689068485	4.5500253499291	4.09645028637038	4.18480854805926	4.24049542926596	1.05322867479893	1.41094048774905	4.43389193582704	3.85784039773356	4.29415413178256	3.77359598928482	1.32950406363405	1.42037491333392	5	TRUE	FALSE
RNF213	1.10631849829914	1.2229007049237	1.42373922091335	1.66906578170816	1.36895066312131	1.74582930396714	0.92011234941459	1.27201585438135	4.5712139938175	4.28740087345525	3.33672959285925	3.63673873412716	1.02011066646902	1.36727560752109	4.84197470905427	4.3075007542922	4.19723963030969	4.17607214335989	1.38720362128563	1.69332082271254	4.3848573880897	3.92379997778551	3.89940544184628	3.69433402504269	1.42772988434746	1.61662533668504	5	TRUE	FALSE
SAMD9	0.312074240606265	0.591871614971021	0.764507280882049	1.3519825350174	0.636640861836024	1.36528577996878	0.3325992016425	0.78307951800299	3.29729450801431	3.28770040335834	2.51421683126134	2.85638052483316	0.370028442839329	0.837204117832289	3.86949693005767	3.39714691329652	3.10085124368028	3.151138298733	0.685593550367202	0.818174412853942	3.88649996833397	3.45774306436958	3.37086190418235	3.10701330435975	0.736581076556442	0.997631250052135	5	TRUE	FALSE
CXCL10	0.0112368366555145	0.0143117303675938	0.241621782272966	1.18489075934976	0.174828426119399	1.13243605442078	0.0189193823734472	0.107310655964147	5.50187227742142	6.58444971755916	3.35236349527322	5.07354181861957	0.30285946956043	0.259554627159949	6.14289058879087	6.65371558106313	4.08724041660406	5.64204113077551	0.178409219834742	0.264298254720922	6.05273675424704	5.98059217484995	4.07646610506398	5.15677368757795	0.117576833949961	0.320340554071238	5	FALSE	TRUE
MX2	0.661891980994385	0.620764045870268	0.869025079576362	0.954617766973822	0.804311762402361	0.977178291796188	0.324267495155477	0.534129939191634	3.54563662361015	3.31288399476849	2.37070931390794	2.73740470542854	0.464937075221597	0.821312052093783	3.90390295387412	3.45909411802115	3.18900915672977	3.32753151101181	0.586175971398937	0.853482995821607	4.02647068532708	3.6241827083446	3.26805097932775	3.57488518832933	0.683116103305531	0.734561889578406	5	TRUE	FALSE
RSAD2	0.168200857979365	0.0931278875665701	1.0756058910197	1.64004424678442	0.989877521399639	1.07615533152867	0.278769815640259	0.2857491915424	5.92536737796568	5.19688527841808	4.1666539139799	4.05395356236392	0.595239687738224	0.559168833318635	6.69382196411849	5.38285192813039	5.66405396220974	4.96896820904658	0.707307095194177	0.623495816945743	6.69192688722983	5.22336157556453	5.82094832991023	4.73737385586045	0.74967381367583	0.729648319588044	5	TRUE	FALSE
ISG15	0.511661133714759	0.758162458930561	0.724033034866658	1.45584471668398	0.47557898365641	1.22660495971452	0.131088550073047	0.442174113434348	4.74336943571147	5.3818066137093	2.95496651539844	4.18008506942317	0.407603458462547	0.890334581738719	6.50862364792194	6.78422452275054	4.48869180046867	5.93520682369663	0.70519361933899	1.19278845307969	7.06875704542947	6.99039396079554	5.04053286903033	6.2593559696232	0.679530723637391	1.09675681735435	5	FALSE	TRUE
IFIT1	0.0717985174131622	0.0611318928715705	0.544517941975991	1.07599254050091	0.3297663069743	0.959258957794113	0.033453187436209	0.158336200396869	4.02561367066186	4.7000281397736	2.64283444628749	3.57409022938564	0.323724571386915	0.494846897191212	4.80954536798247	4.95582993088551	3.44778741706623	4.34073547346829	0.371129806118937	0.568010991919344	5.1587814442535	5.24259141966794	3.81800873171844	4.66201102687216	0.43004533010081	0.759847599720136	5	FALSE	TRUE
TAP1	0.219297265188671	0.195382462435937	0.317052419973936	0.413206323036217	0.300007580888994	0.461270338577384	0.121190552170876	0.233984773769485	1.96165957431316	1.68698487796663	0.892303574842764	1.07519213193875	0.271963365441517	0.29601724938938	2.31230014395834	1.81842868355749	1.39906340391826	1.66895014047143	0.366229845902395	0.295256915823997	2.03776643141009	1.54532457632944	1.75300779852909	1.44617875411509	0.277304937448297	0.354843533303669	5	TRUE	FALSE
CMPK2	0.107720895929781	0.106430661664477	0.322852155705882	0.355586629472288	0.170388367253949	0.334832920089013	0.0881701926234638	0.0517984899392291	2.23392228910959	1.63060953103952	1.18025490575839	0.877601836837852	0.162573752764033	0.178180630968405	2.67491100547498	1.75306253960072	1.65388290792415	1.16103609069659	0.241320037762411	0.196618879342593	2.4939829219571	1.54959607426041	1.44988069887701	0.905914045369641	0.248127262525019	0.24227697118191	5	TRUE	TRUE
STAT1	0.676804829356921	0.498857094188358	0.666538063518597	0.758866089322027	0.481697353313651	0.593133116994132	0.242666875051945	0.309590525756691	2.35660482820973	2.21200949638036	1.35325864565864	1.31536253002334	0.416134254026261	0.519338517809918	3.09203790549323	2.76787450330458	2.0699364624877	1.8173461552858	0.679419254386998	0.898523765725208	3.52311284528669	2.8590329484452	2.07758761494318	1.81869754655021	0.904448288797743	1.03739131346601	5	TRUE	FALSE
TNFSF13B	0.839554641937072	0.683236042697743	0.340322740875784	0.402020644181005	0.363041030253777	0.461936765386746	0.286192419366671	0.482805391898981	1.88848561187726	2.35802838064763	0.907282648630154	1.86259742748709	0.102040616208005	0.566903529904287	3.14317560491631	3.01727948449525	1.78781982128973	2.2697187988976	0.258227168060292	0.642820812362623	3.41501090190166	2.80941479452801	1.70143198191812	1.94791796035695	0.297012658842286	0.513339264428167	5	TRUE	FALSE
HELZ2	0.0666471879828354	0.180897166494924	0.378338903851709	0.489033637403087	0.263993784776729	0.40378586576481	0.0581615569896414	0.119519699141868	1.85023701419293	1.48248913287954	1.00188235809641	0.853458682302465	0.128428664355071	0.285715149439101	1.95457466170933	1.4872266920919	1.11485713078882	1.26218599834567	0.232397804848654	0.183870274126401	1.44053187876744	1.1614469228713	0.925080351144156	0.929470430125603	0.169924632633472	0.252424228736556	5	TRUE	FALSE
